Afli eftir fisktegundum og löndunarhöfnum, janúar 2010 - september 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2025;;;;;;;;;;;;2024;;;;;;;;;;;;2023;;;;;;;;;;;;2022;;;;;;;;;;;;2021;;;;;;;;;;;;2020;;;;;;;;;;;;2019;;;;;;;;;;;;2018;;;;;;;;;;;;2017;;;;;;;;;;;;2016;;;;;;;;;;;;2015;;;;;;;;;;;;2014;;;;;;;;;;;;2013;;;;;;;;;;;;2012;;;;;;;;;;;;2011;;;;;;;;;;;;2010;;;;;;;;;;;
;Flateyri;..;..;..;2;135;24;..;5241;519;..;..;..;..;..;749;..;18;617;508;1509;978;3876;1859;159;..;3053;6147;799;17;236;229;740;58;..;3201;..;8310;19960;6577;12394;2531;876;338;355;118;..;..;..;988;9033;1099;..;6346;22576;749;1373;5319;12261;11947;24071;99;..;..;..;6783;13100;6310;424;913;3221;7403;3518;34996;4735;2495;666;4247;2586;1207;3390;295;10671;6187;9329;13253;4868;1272;1049;4132;1930;1032;3832;15213;57773;32306;59733;16029;14519;1900;266;1913;1231;701;1298;10718;18628;12542;14323;19954;29106;1812;248;18020;10149;3749;8580;2359;8301;11681;18877;17730;14989;2625;591;16573;33953;13503;29580;25973;41508;20854;11968;20515;4834;12368;195;24069;17221;31317;34333;9753;22256;30661;8966;15368;32090;2116;81;1673;20271;49393;1546;19670;35632;41085;17057;31858;13498;6390;107;29595;46130;48396;26482;10501;12896;8073;9695;907;2131;13784;1203;4156;6868;24634;16110;10033;12296;14196;38649;16055;7187;1476;200;2811;12644;11741;5287;15066;17523;7948;3382
;Gjögur;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;33;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Grenivík;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12;4;..;..;..;..;..;..;..;..;..;..;4;..;..;..;..;..;..;..;..;..;..;12;4;..;..;..;..;..;..;..;..;..;..;234;66;..;..;..;..;..;..;..;..;..;..;259;152;..;..;..;..;..;..;..;..;..;..;15;72;..;..;..;..;..;..;..;..;..;..;44;51;..;..;..;..;..;..;..;..;..;..;..;150;0;..;..;..;..;..;..;..;102;454;..;5;..;..;..;..;..;..;3456;0;1217;55225;..;..;12590;..;..;..;..;..;2688;..;..;..;8437;1273;..;35350;..;..;..;..;..;..;165;864;180;920;229;11884;38;0;..;..;..;..
;Grímsey;326;1945;32;99;465;264;327;14581;835;..;..;..;..;2066;1143;138;52;444;260;3457;..;858;..;..;353;3004;867;1341;240;377;3298;1546;..;4597;152;192;490;287;1294;540;908;..;141;..;..;2112;1390;4501;590;2640;3121;590;915;12;45;..;32;303;179;59;..;352;786;..;1068;845;8744;6341;514;473;630;82;1763;1618;1893;573;1364;3070;15860;6140;86;30;..;..;2785;3126;3637;113;2390;4468;8825;2290;1271;..;..;..;6126;3812;4766;67;4136;3008;1775;190;33;515;119;487;13809;22288;7515;4561;2649;3583;3902;3430;7675;7431;14086;4474;15285;2763;6167;2147;4371;4677;5955;7644;5026;24158;17535;22896;11280;6741;1454;731;7897;1710;2759;13496;3181;17139;27658;395;24076;17487;4405;7990;11294;5042;7315;6415;39472;44555;30339;10075;16351;18089;13044;4640;9622;12565;7450;2697;22643;42405;31180;19266;15461;12615;7398;1459;6037;1999;4061;7414;17193;56285;53328;4124;11948;12363;7577;7293;9509;6283;13295;4248;18778;13928;36260;19319
;Grindavík;428023;215517;474857;914176;449587;278399;587746;730775;107091;..;..;..;161828;26235;39421;763735;130102;69563;494553;278608;144163;392755;243274;223926;708600;338128;1048226;931175;585078;187523;108068;273871;536314;256481;124137;33659;152895;441899;649281;649584;619530;74078;9654;181466;247873;360420;387166;542090;716683;798390;1017231;1121548;907068;187084;81362;290149;292336;262540;215718;178807;289284;720606;615338;947220;567064;128789;92879;397801;234260;215880;279487;384107;777119;614621;668648;1137862;495160;81979;226456;42758;85286;194803;48798;317797;630012;613293;638101;657624;422177;103701;269105;128190;103053;72905;224209;184345;7819;266694;915798;776666;607899;170952;293395;23021;89439;43198;140569;267085;266765;692157;476055;694162;442065;87463;24317;236304;24110;9882;219046;289347;565069;560014;553283;488920;364280;249886;58640;208957;196051;201705;291516;327638;411895;478493;1016698;479870;324506;89291;134084;94699;151089;163138;43800;134082;338543;709045;897370;1005581;348801;193622;39525;43676;263914;133440;116508;217768;272448;618223;1072411;694877;491116;100711;30481;81727;159894;65889;125229;134919;346767;387652;1152900;543543;504392;69928;4554;161112;98766;63564;224407;247181;485330;673078;1074999;867597;726339;308043;109435;401455;143361;183945;128698;236858
;Grundarfjörður;485689;447783;517475;234663;457840;98451;45748;315015;307415;..;..;..;396484;599061;394903;467161;458903;302833;137964;295082;356628;358344;392435;362554;175030;326671;422159;263068;308534;225857;13406;200337;600760;507622;557163;335869;212246;277430;351200;183881;336052;73468;14258;264789;597170;736081;570482;446277;249156;234455;195116;115066;180511;246664;116934;311460;359768;314779;493376;255804;120793;233817;229255;235418;174210;128799;14416;238674;199318;181160;238387;200151;240691;291686;366543;405775;202857;172063;168451;40422;184497;158119;184826;183745;187714;130288;153028;140159;200671;75975;93696;178281;172899;155186;147382;129780;7318;52393;184204;106758;196213;25780;55464;113246;46700;100595;114971;63699;168088;169014;84654;118772;42468;97984;61151;102439;45939;129560;129471;54811;108325;86514;111518;35596;57009;47111;148116;224869;88075;120761;156855;68521;161007;166266;256268;59192;14838;41526;17960;40916;80203;107085;102714;72971;204320;177689;194378;97152;70156;43236;48299;16465;178005;199513;119328;71776;228796;176625;234196;167539;183999;552;18;68623;97532;246879;181215;77710;90001;90976;245725;142580;141092;7597;15340;125128;49684;92181;80938;91841;120570;111824;380549;140987;320098;165685;30275;57680;32219;77726;94060;72736
;Hafnarfjörður;772354;429959;1338949;1300629;571668;524246;711255;828148;276683;..;..;..;362348;793779;1180938;985159;738858;265540;576028;1209863;325931;737226;302538;360619;426959;463031;528660;632273;268032;7728;64;164746;96784;305860;657057;453785;235409;231629;512175;368986;608481;9027;571612;600172;390295;263004;423789;278047;224138;234811;465411;393247;285321;326267;118;10420;2729;86161;12761;28626;226576;120653;511649;408956;240096;62468;76062;133831;3750;39147;179017;92357;275659;107922;622329;855741;165887;8;..;152661;91125;150132;153279;128184;143128;263105;20927;159124;32542;2450;19816;105589;3266;100884;119381;128444;6608;8919;115259;321957;55681;3333;63787;113898;2720;2871;18809;124667;196362;99264;143471;4947;18248;79530;49203;5353;1285;174219;45019;7704;42562;70264;111926;46863;29702;1622;40918;36438;26120;55152;102028;60662;67159;71555;95194;28130;38311;867;113;100;112;..;19739;68429;42584;89592;48574;245860;66188;34253;40730;10;56953;40880;91454;105155;120179;133187;295845;145337;189886;24510;93232;87;92861;73750;160246;43237;79661;61339;177099;89633;193546;39475;3946;100642;8444;80521;83628;84078;53286;98318;258343;25696;94534;101831;37228;451684;17677;132183;126386;52868
;Haganesvík;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Hauganes;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;54;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6;..;..;..;..;..;..;..;..;..;..;40;0;0;..;..;..;..;..;..;..;..;45;41;..;..;..;0;..;217;..;..;..;..;..;..;..;..;..;..;..;..;..;80;..;..;..;154;53;..;..;120;107;111;168;..;..;..;..;20;56;58;4;510;387;258;146;0;..;..;..;30;..;19;128;266;787;365;..;22;..;..;..;187;15;4;2;..;..;41;..;..;46;..;154;0;..;23;396;3026;5330;10274;6722;..;..;12;5;..;0;53;147;..;3156;2126;..;..;265;236;322;71;..;..;..;521;8156;6321;1366
;Haukabergsvaðall;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Hofsós;..;..;..;..;..;90;550;1615;..;..;..;..;..;..;..;..;22;..;..;..;825;..;..;..;..;..;..;..;..;19;25;2516;..;..;..;..;232;..;..;..;..;..;65;1015;..;1038;164;..;..;..;..;..;4;..;31;11;2404;..;..;..;..;..;..;..;..;10;2144;408;7730;1591;488;..;..;..;..;390;266;..;4122;29648;44678;17325;..;..;4845;..;..;..;15;1814;1341;5064;..;..;7205;3823;15038;3924;690;875;884;3819;13554;115796;122780;72402;19521;4321;12848;3480;..;177;2705;5285;5382;46759;155101;130358;57140;26760;6549;7852;4418;728;4242;4426;5906;89087;160944;140650;91766;44401;18788;7384;2403;1053;2955;10805;14767;27095;8589;9249;22356;7102;7758;9997;3321;1052;2143;6227;9112;11479;75705;40378;105648;35175;15113;3896;8877;3391;6105;5662;10233;47000;40980;8140;88397;73396;9795;4613;4742;702;3518;22861;18211;70349;90427;73606;33017;22285;11535;5940;4752;5575;1038;2970;89876;118788;105641;63523;63909;21422
;Hólmavík;56578;39765;22270;229;24860;48614;68765;54566;34129;..;..;..;11849;27629;1493;11097;7562;8409;50435;95465;114741;50060;57514;61234;11739;4814;2690;2122;1285;6007;1919;20199;29052;52005;42729;35610;22044;3046;3032;2749;8386;7417;18159;34830;31711;39460;29451;18706;11229;8888;5541;197;..;349;814;53919;25031;35975;22837;10484;25387;26675;6817;212;12010;11052;14174;22065;75375;49911;50407;22581;19860;9052;4684;524;2981;8766;4169;10005;41058;33574;30452;15779;30827;11272;5743;398;5498;8549;12357;26052;25349;69800;32726;25823;33054;25998;2852;2045;5903;16307;5383;9644;28241;52007;42249;36424;55767;12316;2266;441;6161;25556;12827;2455;35200;90821;81989;26491;36355;21623;25423;510;15552;29924;13502;26441;27509;80338;51346;45097;32642;8329;7846;2895;2653;3287;188;20;14668;56442;56345;25427;39511;32849;17240;6520;41690;45190;1060;123;39762;89067;79747;31329;47337;34957;10635;14;5814;19563;18034;3974;12522;54177;64374;52261;30823;25920;7653;198;10284;17867;33638;53368;75782;75938;106233;45038;63711;24099;12831;196;89;24776;33872;75041;80430;66665;60281;61529
;Hornafjörður;121546;184215;258145;264829;260802;71711;43628;72066;156093;..;..;..;112413;137120;268291;202529;245402;303009;180692;99130;432519;197283;258265;97836;200288;232158;38680;31721;92943;39861;140874;97021;126825;207496;122473;76731;26787;80639;20825;26853;57332;5059;81032;29333;139892;109365;126398;218091;242681;123135;31766;29515;135821;44699;85055;12258;125474;127186;134507;199754;115818;150855;36185;71704;207787;196705;391033;306552;240243;196604;168733;172244;55597;41607;31840;26719;156893;82428;164275;87420;102365;155340;198087;25389;93774;133567;86819;27049;127953;41970;15837;15477;162526;121278;83305;42767;8252;25056;82592;37475;246548;66410;23846;7087;73954;79668;95454;83987;70990;60218;31395;35540;291632;52077;49761;3287;62679;57934;100189;45299;36174;34746;59290;60037;273218;115110;8330;3567;102596;17766;45950;39545;20725;51723;27165;23280;232003;77935;14539;1777;158797;134520;64915;11181;37059;46266;37745;46114;169275;132459;23310;1734;26285;218046;53788;19086;87304;135773;37314;39981;327424;106243;27922;21478;157524;131455;46079;32597;25264;18904;27621;22622;189596;182098;75076;16334;27830;20424;25418;56526;105849;372609;171192;86945;459600;148236;45567;53005;58245;8737;16449;105557
;Hrísey;11869;4759;2674;377;318;1104;..;9669;20190;..;..;..;18945;12217;5513;2904;1186;77;12;6749;17093;23072;22436;14576;17295;11119;8558;2885;626;545;1344;9342;27318;31862;29482;23732;33909;10978;7375;1698;878;485;376;2553;11297;22864;19297;14540;3166;5035;805;328;1493;1099;614;26933;45407;10935;9367;15533;10720;4896;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4499;..;..;4349;12452;10867;9250;10135;6797;2074;317;..;..;..;..;955;..;..;..;21376;38881;30529;8321;10536;10194;777;8932;314;3458;2091;4344;16182;15336;8715;20324;13199;6235;..;20578;41604;57634;48649;36757;13066;6444;10179;6681;6433;7003;..;12590;14501;26387;19724;12895;18277;3342;4337;2478;719;4590;..;24992;15139;20406;12989;9215;15976;12324;7267;6972;8207;2397;1888;3634;18717;25416;21276;14292;19626;11303;14777;4702;5819;1416;27;7048;14538;14893;26732;12384;9741;12826;11064;3951;5633;3556;482;2754;9976;33019;37124;14739;14948;8643;4992;6035;2457;2809;967;5198;20979;27987;21537;10494
;Húsavík;37130;20836;118;1965;4617;349;15236;37;348715;..;..;..;30720;459;4090;11993;1502;539;2650;20075;206622;96258;18032;34475;6750;7127;10122;9864;5025;13674;1413;6249;107396;164560;41878;63659;14426;7578;4613;3664;18185;9158;2321;11523;46564;41421;24360;13135;27965;30473;11849;5843;13220;18025;2443;15334;43175;31417;15409;10848;7766;40897;15997;22530;25917;15103;580;18834;103129;182185;47459;9944;30348;27262;41292;12147;32363;3683;2768;21772;67980;38059;21534;11546;14539;15502;9295;28869;24432;21961;4354;16005;43217;89922;85867;26137;13998;13422;20628;21624;21727;17006;3940;12753;63147;28194;29922;8166;18512;10904;19316;9042;28592;10457;4818;16879;62858;69106;44455;16612;10869;2933;12928;4472;20432;16793;4116;10564;26042;81052;34952;30874;24643;5379;2072;3161;2544;19611;1075;22467;52698;36119;29355;4049;20141;12875;24522;21446;20563;20630;13971;35648;188340;112165;105080;35593;50020;46147;45807;11881;33048;39364;13072;48632;169165;266703;80664;33133;39384;150544;37476;9383;24208;36250;14186;60848;77004;253164;214287;126298;70680;41425;17820;13086;80955;48980;7591;74595;184589;267506;172780;77890
;Hvammstangi;..;..;..;12;5967;17446;49369;83196;45576;..;..;..;..;..;..;19;6123;24945;15700;29342;34118;15863;..;..;..;..;26;..;3395;13919;20224;79220;1999;13131;14184;10580;2156;254;..;..;3591;323;1107;10842;..;12753;1160;1188;..;46;..;..;3602;5992;10222;61425;24538;2234;5576;878;..;290;..;109;2099;646;25066;34209;..;27256;1111;1162;..;..;..;..;1898;1616;30838;21830;..;..;..;..;3210;..;..;..;3974;..;..;16540;423;7364;4512;1416;3990;..;..;..;..;6708;17655;45993;8882;33901;13877;4930;342;307;..;11;2409;3008;17976;43842;21136;13320;21848;11568;..;..;..;204;4213;3585;35932;5962;26615;51682;30940;12052;2354;1571;173;..;1280;18822;21176;15498;1215;936;2569;177;401;175;..;386;2663;6875;3972;6341;19137;24188;34661;8775;1950;1467;..;110;465;5821;4849;7360;3928;1471;245;..;5059;5947;..;236;191;2386;6847;29380;11502;6415;1019;6457;2451;1920;..;102;3881;750;17285;42650;6331;15894;15503;12663
;Ísafjörður;316420;233325;370942;278444;367904;147437;232770;326801;179072;..;..;..;297667;279107;201446;245203;170934;253369;262562;229353;165874;187377;145350;354374;208820;207465;159510;152252;24530;239931;399302;154878;143639;171884;107500;99417;227766;94155;97215;89964;82867;258473;171121;284988;524323;295405;127531;182729;514759;156114;146149;89713;97258;279073;124917;370376;157486;188410;318566;152142;93462;133425;96647;38811;42970;108965;220104;276748;103997;81208;205120;204569;476264;488959;231349;85289;57030;63282;188553;383277;118206;112125;108137;99904;217351;114475;41343;84512;60886;188782;116773;250054;140950;206669;115526;204514;8941;17788;118531;25602;42685;72650;89384;161053;86269;178078;126277;120251;176720;122656;85249;90587;45521;27210;11194;48596;66149;153509;124179;84038;215940;133672;222799;43963;21607;21565;58749;99544;106519;111932;160398;92871;144366;53443;35888;51472;10490;23877;30181;50441;49926;106657;107498;96186;109526;155310;70618;62409;9691;54028;41718;70623;33522;134865;131780;160354;91844;50916;96483;56435;39767;22230;40276;8200;33514;51566;57805;73413;125788;124469;246308;397123;33718;47694;59934;119629;66900;21489;46919;55173;120033;123465;252395;211276;241295;144579;122551;110384;133794;133534;173025;106262
;Keflavík;2425;3682;4949;2773;197;2444;473;3176;3462;..;..;..;1403;4813;3090;198;913;53;73;462;1538;219;2401;2434;14754;2795;87608;838;1811;..;..;4003;14246;1262;3317;2245;46307;25872;27980;4312;3092;..;88;892;1195;1880;17141;1306;16818;4403;5705;80892;2224;..;5231;1328;11489;524;23910;10831;14917;30364;72740;1830;1686;..;210;491;8818;261;7630;29;2131;62774;71977;65497;11894;18;79;45;334;165;6780;9033;53773;22862;20723;..;1330;232;749;74;361;3118;632;54255;671;7857;3896;816;16645;..;805;13242;436;3177;551;2883;14166;38385;26099;45578;2124;..;..;55;8485;16962;24067;4502;65939;55999;38612;3763;884;125;675;1441;14358;10175;3031;1694;53791;10155;12820;10;80;354;17;13;417;1241;26547;1935;25233;8853;1223;4;30;..;1690;..;2191;16677;6284;9764;30440;28496;105444;27276;199;..;507;262;10130;60;21942;2457;75987;52720;98254;25793;93;2;..;189;14963;679;15854;5486;56782;4839;28520;106797;76307;15180;675;4159;34796;13258;11190;2122
;Kópasker;..;..;930;304;298;..;..;..;..;..;..;..;..;..;2799;777;392;394;..;..;..;..;..;..;..;..;..;..;7291;637;..;..;..;..;..;..;..;..;10130;3461;11856;831;27;..;..;..;..;..;..;..;..;4595;22244;438;115;..;..;3807;..;255;..;..;1090;14;26928;2077;..;4951;..;14597;1633;12446;..;..;111;1228;5874;4113;..;..;10388;6726;1480;..;..;..;1738;276;2626;..;..;..;..;..;..;..;..;..;1020;1806;8612;23;..;..;..;..;..;..;2279;..;..;8686;2455;5966;4;..;..;..;..;..;..;145;734;..;1169;246;19;..;..;..;..;..;995;1784;675;2287;14793;4969;424;59;..;585;..;..;..;291;3149;1980;8420;880;696;44;60;..;867;..;2377;27;237;4009;18316;2234;1487;54;1128;2327;1604;62;..;11601;9312;1437;3969;301;266;502;..;..;..;..;144;1339;1253;2301;2064;8459;97;19855;15833;3048;..;..
;Kópavogur;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1214;532;4629;2384;7183;359;..;..;..;..;..;..;..;..;2732;3983;3389;2533;838;..;..;..;..;..;1757;8135;6088;4430;3409;..;517;..;..;..;..;..;..;4125;8744;4178;..;..;861;28;..;..;..;..;..;3613;19076;7516;42;..;35;238;1;2359;6289;18616;29905;15299;8583;7075;2806;11825;8625;162;75;8387;..;5071;12100;14436
;Mjóifjörður;..;..;..;..;458;..;..;458;..;..;..;..;421;..;1849;956;..;..;..;650;..;..;..;..;..;..;154;..;..;..;..;32;..;..;..;..;..;..;537;271;..;..;..;..;..;325;115;..;..;..;..;..;..;..;..;..;..;..;344;..;..;..;..;..;..;..;..;..;..;224;1034;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;890;..;..;..;..;..;..;..;61;..;..;..;651;737;..;..;..;..;..;60;..;..;416;..;150;..;..;..;..;..;..;460;356;150;..;..;..;..;..;..;30;..;..;..;..;276;50;93;115;20;..;..;..;..;..;..;..;..;30;271;62;..;193;..;..;24;..;..;..;..;..;424;1633;171;203;5;102;162;..;..;..;..;..;2158;277;1071;4208;5662;2398;..;..;..;..;..;494;327;261;373;337;..;262;..;..;..;224;..
;Neskaupstaður;163168;353842;252318;334603;262686;526425;417898;155670;544707;..;..;..;153281;231110;30098;269827;325329;125365;603143;273279;748808;916514;668196;345452;5169;198539;83518;129609;32394;93364;226196;572929;455333;739698;421218;273621;29104;62711;12338;97058;56827;35205;75953;180351;55178;338847;533755;139002;23208;121413;36766;61108;126083;111573;289652;174243;499648;210890;135347;147793;7413;66786;62764;63822;163544;221495;125087;96363;221661;298726;266045;235904;1404;193562;95191;100947;169213;18818;94112;472153;77434;436086;361376;102673;128205;54726;61823;86;1877;46409;262614;56811;88733;155396;221391;151901;..;23626;42626;145757;138313;47109;88521;100275;174178;98337;74605;97826;151932;28646;29875;62038;58503;25103;96531;53926;55175;114828;84012;13119;157901;39877;7699;2048;152330;160444;26784;42080;72149;72177;91496;194841;39209;8703;9371;4856;9266;12225;1346;6393;53484;88444;41147;27331;30749;6974;11205;9973;26269;37810;8383;31671;54671;61132;93204;5955;157167;180567;46940;3257;131486;18608;2688;26678;52033;33251;27649;17345;86017;72389;72083;63918;60369;51295;33723;24470;26719;59661;117245;35296;41239;195980;40224;13427;285051;59919;94582;46966;20520;71617;80182;66514
;Norðurfjörður;..;..;..;..;60;224;23;..;..;..;..;..;..;..;..;..;..;15;85;..;..;..;..;..;..;..;..;..;..;47;..;36;..;..;..;..;..;..;..;..;..;21;527;12;..;..;..;..;..;..;..;..;..;24;23;176;..;..;..;..;0;..;..;..;5;68;626;118;29;15;..;..;..;..;..;..;..;9;118;180;7;18;..;..;..;..;..;..;..;22;13;85;..;..;..;..;..;..;..;..;..;15;292;345;..;..;..;..;..;..;..;..;..;5;8;88;..;..;..;..;..;..;..;..;..;..;24;12;..;..;..;..;..;..;..;..;..;87;94;1894;..;..;..;..;..;..;..;..;..;661;418;165;2145;1195;..;..;..;..;..;..;0;25;276;108;874;1632;..;..;..;..;11;..;..;..;125;60;..;..;680;..;..;..;..;..;..;27;..;..;..;..;..;..
;Ólafsfjörður;..;..;..;..;29;80;38;..;..;..;..;..;..;..;..;116;62;17;178;..;..;..;..;..;..;..;4;10;296;57;101;..;..;..;..;..;..;..;..;10;2;96;453;30;..;36255;48225;..;..;..;..;..;4;..;..;..;21;..;..;..;30;..;13;67;2;..;..;80;29973;38455;..;..;4926;1480;..;45;..;20;113;5033;10970;10647;3309;820;5138;2166;..;0;..;268;2251;496;8074;8033;15535;973;6949;3018;865;..;21;268;1760;19592;13051;65754;6393;8240;1602;1886;270;22;44;456;552;1212;11955;19478;32205;4674;575;3764;2108;5;119;2454;2084;6947;51;592;691;..;79;18;15;9;21;362;408;609;2006;258;905;564;1106;2997;6204;1362;58;687;1030;52398;4255;523;30720;113;100203;63;796;7;24310;1894;3564;909;2245;5508;812;240;497;165279;39112;188188;109837;4419;7417;21649;91206;55693;109259;56030;2010;200862;98783;47155;270329;6418;55619;424172;38180;74180;116716;5526
;Ólafsvík;309181;514859;521781;63542;69317;98646;2879;111901;97799;..;..;..;277308;636450;454534;163491;149625;80944;397;156143;172251;109951;53802;146354;293542;197089;234509;62835;220022;78945;5902;152244;135515;147618;136089;125533;263149;185933;138165;78186;172863;69048;428;125474;256340;189441;218410;146442;269198;385012;239295;101789;342926;36804;19;46403;104806;64331;93892;148710;293718;260389;282152;112422;275680;102302;34147;86545;174825;132483;316498;191681;279151;492800;502389;245706;379514;32860;3963;48819;127234;113618;173224;116284;187735;306949;276198;230999;199763;89160;13486;35456;86857;101588;135793;159437;134071;220844;306488;190786;325143;15054;5046;20420;59389;46265;82660;106971;213281;239181;152270;134852;286712;119318;20035;14331;75441;29769;60887;74525;151637;214509;161277;65678;250193;152584;47442;25367;41623;62104;94521;121228;284889;119678;179609;112265;309754;28277;583;16940;67912;39089;58056;72467;279739;405835;183333;237161;262806;28705;948;5011;81838;65597;79450;72922;381841;550528;382133;67514;265010;30633;3090;20164;97396;94418;85549;61432;282415;411435;639769;83131;420520;57716;5977;58175;55191;73815;133515;153299;529303;489627;521434;115223;465350;277216;28556;77645;91403;90340;172187;181798
;Patreksfjörður;176885;84125;67633;13636;460;1040;53;18963;53855;..;..;..;92011;146984;57782;30413;3085;1797;88;22677;101546;96408;216412;78264;53554;40142;39087;17585;4258;2991;39;42296;51119;167525;214471;47689;61577;44736;47895;25203;15689;97;2;16859;71164;137541;82937;56249;81657;92309;73615;30795;46751;9231;819;35278;35175;94636;141076;79062;37515;55240;21168;4403;11214;4258;22;67922;106195;120298;110578;96860;76896;131554;14472;24057;21974;449;161;50942;58586;87732;112598;33549;56499;63543;35468;20507;13597;1302;541;48392;82571;100718;67885;32780;4695;27925;36408;26736;68539;4152;217;44637;66298;103706;79854;52460;85451;67655;22423;11234;31828;4296;12;35814;52815;52892;58489;35926;44277;54812;57181;25563;30121;11392;5171;26864;77354;90535;59242;61459;88516;39696;43123;15890;32365;15308;2477;2300;64187;37476;81559;51845;48438;73864;16123;17308;21048;5538;34075;22449;66365;44322;79590;55541;79867;54097;34993;19510;20155;423;3400;10340;76897;69313;81607;38670;50949;35847;92372;4539;16398;9055;4359;42144;71207;100820;119879;99634;66430;64653;73856;39387;32911;1363;288;16286;60154;85507;69048;30156
